S.NO,book,author,rating,genre,review
1,Tale of two cities,Charles Dickens,3.86,fiction,"Profound human love and the most repugnant savagery, horror and redemption, a heroine and a grotesque revenger, two families with dark secrets, two cities, all in the backdrop of the bloodbath that was the French Revelation. In reading it, be prepared for the Best of Times and the Worst of Times. Like all great stories, the brilliance of this tale is its ability to not only intimately draw us into the tangled lives of these characters, battered by the historical tyrannies of their time, but to use their story as a parable to understand the human narrative. Perhaps therefore Dickens believed this book to be his magnum opus; perhaps he felt like it was his clearest statement of what he believed."
2,Sense and Sensiblity,Jane Austen,4.1,period drama,"When Elinor Dashwoods father dies, her familys finances are crippled. After the Dashwoods move to a cottage in Devonshire, Elinors sister Marianne is torn between the handsome John Willoughby and the older Colonel Brandon. Meanwhile, Elinors romantic hopes with Edward Ferrars are hindered due to his prior engagement. Both Elinor and Marianne strive for love while the circumstances in their lives constantly change"
3,Journey to the end of the Earth,Jules Verne,4.0,adventure,"This novel, instead of going around the world, we are now going into it! Though most adventures and action books these days rely on shoot outs and car chases to keep the reader interested, Jules Verne manages to grip us using old fashioned mystery and suspense. The epic adventure begins when enthusiastic geologist Professor Otto Liedenbrock discovers old documents, which he believes are instructions on getting to the centre of the earth. Along with his whiz-kid nephew, Axel Liedenbrock he discovers the key to the document, and finds the location of the crater. They pack any and every survival equipment they can find, but will it be enough for the perilous journey ahead? Will their supplies last? How will they get back up to the surface? Will they ever get back up to the surface? They must find their way through a maze and an endless sea, as well as many other obstacles before they can find their way to the heart of the earth."
4,The Count of Monte Cristo,Alexandre Dumas,4.28,adventure,"Thrown in prison for a crime he has not committed, Edmond Dant'es is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and he becomes determined not only to escape, but also to unearth the treasure and use it to plot the destruction of the three men responsible for his incarceration. Dumas'92 epic tale of suffering and retribution, inspired by a real-life case of wrongful imprisonment, was a huge popular success when it was first serialized in the 1840sRobin Buss'92s lively English translation is complete and unabridged, and remains faithful to the style of Dumas'92s original. This edition includes an introduction, explanatory notes, and suggestions for further reading."
5,Romeo and Juliet,William Shakespeare,3.35,romance,"It is well known that Shakespeare borrowed plot ideas liberally from ancient Greek plays. However, with Romeo and Juliet, he broke new ground. Of course, it wasn’t the first tragedy but it was the first to use love as the hero’s fatal flaw. The impact of this has shaped culture immeasurably. It is such a good story. It truly is timeless and has been borrowed and liberally ripped off for centuries since. "
6,One Arranged Murder,Chetan Bhagat,3.5,mystery,"The book follows two best friends who have a detective agency. Keshav and Saurabh live together, work together and are close, despite their differences. Saurabh is to marry Prerna, and though its an arranged marriage they seem very much in love. Even though theyre just engaged she fasts for him on Karva Chauth and insists on meeting him on the terrace so that she can eat.Unfortunately Saurabh reaches the terrace to find her murdered. He is determined to find the killer so he and Keshav investigate together. Prerna lived in a big house in Delhi and there are a lot of suspects.The book is written in Bhagats signature easy style and those who have read the timeless romances by Bhagat will be thrilled reading this new genre."
7,Twilight,Stephanie Meyer,3.63,sci-fiction,"Twilight is an interesting, mysterious portal into a riveting take on traditional vampires and delves into how a more realistic yet more fantastical type of vampire could exist among us. It draws you in with the mystery of Edward, making you wonder what his deal is. You are kept engaged by the relatable (and not so relatable) struggles of Bella, an everyday girl who has just moved to a new school and is drawn to a mysterious, beautiful boy named Edward. She continually gets into awkward situations that she would not be able to get herself out of, if it wasnt for Edward. What is Edwards goal? Why is she so attracted to him? And why does he force her away repeatedly? Read to find out!"
8,IT,Stephen King,4.6,horror,"‘It’ is a book that sticks to your mind as a reader. Readers will find themselves entangled in the fictional world Stephen King created, and one will experience the emanating horror from a personal perspective. In all honest opinion, though the book is lengthy, reading It is worth all the pages"
9,Pride and Prejudice,Jane Austen,4.28,romance,"Pride and Prejudice Book Review Pride and Prejudice, a classic novel by Jane Austen, tells the story of a complicated love that develops between what was thought to be two very different personalities. The protagonist, Elizabeth Bennet, misjudges a man upon rumor and appearance, but finds out she is extraordinarily wrong."
10,The fault in our stars,John Green,4.26,romance,"The Fault in Our Stars is a great novel. The characters, dialogues, and themes work perfectly in sync to create a story that draws out emotions from the reader. Because it pays attention to the lives of its characters intricately, the novel makes the reader relate to the story personally. The Fault in Our Stars employed an excellent writing technique that disseminated story plots progressively. The use of compact sentences with a detailed description of events made the story leave an impression of realism on the mind of its reader. John Greens use of simple wording made the story compact."
